,movie,year,timeMin,imdb,metascore,votes,us_grossMillions
0,The Mitchells vs the Machines,2021,113,7.8,80        ,47036,
1,Zack Snyder's Justice League,2021,242,8.1,54        ,291461,
2,The Father,2020,97,8.3,88        ,61167,
3,Avengers: Endgame,2019,181,8.4,78        ,877539,858.37
4,The Shawshank Redemption,1994,142,9.3,80        ,2396602,28.34
5,Sound of Metal,2019,120,7.8,82        ,87362,
6,Once Upon a Time... In Hollywood,2019,161,7.6,83        ,583468,142.5
7,Tombstone,1993,130,7.8,50        ,130435,56.51
8,Another Round,2020,117,7.8,80        ,78005,
9,Knives Out,2019,130,7.9,82        ,492091,165.36
10,The Godfather,1972,175,9.2,100        ,1659984,134.97
11,Parasite,2019,132,8.6,96        ,610519,53.37
12,Goodfellas,1990,146,8.7,90        ,1043419,46.84
13,The Gentlemen,2019,113,7.8,51        ,263788,
14,Harry Potter and the Sorcerer's Stone,2001,152,7.6,64        ,675355,317.58
15,Titanic,1997,194,7.8,75        ,1068440,659.33
16,Interstellar,2014,169,8.6,74        ,1560642,188.02
17,The Dark Knight,2008,152,9.0,84        ,2358097,534.86
18,Soul,2020,100,8.1,83        ,243487,
19,Bohemian Rhapsody,2018,134,7.9,49        ,469549,216.43
20,Pulp Fiction,1994,154,8.9,94        ,1863877,107.93
21,Thor: Ragnarok,2017,130,7.9,74        ,614362,315.06
22,Joker,2019,122,8.4,59        ,1001218,335.45
23,The Wolf of Wall Street,2013,180,8.2,75        ,1225103,116.9
24,Saw,2004,103,7.6,46        ,386038,56.0
25,Inception,2010,148,8.8,74        ,2115994,292.58
26,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92        ,1694447,315.54
27,Back to the Future,1985,116,8.5,87        ,1082727,210.61
28,Forrest Gump,1994,142,8.8,82        ,1853096,330.25
29,Dazed and Confused,1993,102,7.6,78        ,169914,7.99
30,Avengers: Infinity War,2018,149,8.4,68        ,879448,678.82
31,Inglourious Basterds,2009,153,8.3,69        ,1298747,120.54
32,The Silence of the Lambs,1991,118,8.6,85        ,1299531,130.74
33,Guardians of the Galaxy,2014,121,8.0,76        ,1064910,333.18
34,Baby Driver,2017,113,7.6,86        ,455943,107.83
35,The Goonies,1985,114,7.8,62        ,249111,61.5
36,Ex Machina,2014,108,7.7,78        ,485117,25.44
37,Soorarai Pottru,2020,153,9.1,-,79792,
38,Gladiator,2000,155,8.5,67        ,1367234,187.71
39,The Matrix,1999,136,8.7,73        ,1711904,171.48
40,Jurassic Park,1993,127,8.1,68        ,885321,402.45
41,Alien,1979,117,8.4,89        ,803519,78.9
42,Blade Runner 2049,2017,164,8.0,81        ,479147,92.05
43,Brokeback Mountain,2005,134,7.7,87        ,329764,83.04
44,Prisoners,2013,153,8.1,70        ,617849,61.0
45,Big Fish,2003,125,8.0,58        ,420287,66.26
46,Wind River,2017,107,7.7,73        ,214298,33.8
47,Guardians of the Galaxy Vol. 2,2017,136,7.6,67        ,588328,389.81
48,Come and See,1985,142,8.3,-,62900,
49,Fight Club,1999,139,8.8,66        ,1893738,37.03
